Date,Open,High,Low,Close,Adj Close,Volume
16/11/2018,,355.700012,345.119995,354.309998,354.309998,7206200
19/11/2018,356.339996,366.75,352.880005,353.470001,353.470001,9708900
20/11/2018,341.75,349.799988,333.549988,347.48999,347.48999,8004700
21/11/2018,352,353.100006,337.399994,338.190002,338.190002,4686800
23/11/2018,334.350006,337.5,325.549988,325.829987,325.829987,4202600
26/11/2018,325,346.220001,325,346,346,7992100
27/11/2018,340.049988,346.959991,335.5,343.920013,343.920013,6358300
28/11/2018,345.98999,348.279999,342.209991,347.869995,347.869995,4127600
29/11/2018,347,347.5,339.549988,341.170013,341.170013,3080700
30/11/2018,341.829987,351.600006,338.26001,350.480011,350.480011,5629100
03/12/2018,360,366,352,358.48999,358.48999,8306500
04/12/2018,356.049988,368.679993,352,359.700012,359.700012,8461900
06/12/2018,356.01001,367.380005,350.76001,363.059998,363.059998,7842500
07/12/2018,369,379.48999,357.649994,357.970001,357.970001,11511200
10/12/2018,360,365.980011,353.119995,365.149994,365.149994,6613500
11/12/2018,369.910004,372.170013,360.230011,366.76001,366.76001,6308800
12/12/2018,369.420013,371.910004,365.160004,366.600006,366.600006,5027000
13/12/2018,370.149994,377.440002,366.75,376.790009,376.790009,7365900
14/12/2018,375,377.869995,364.329987,365.709991,365.709991,6331500
